schema_version,dataset_type,exchange,symbol,instrument_type,open_time,close_time,timeframe,funding_rate,index_price,mark_price
v1,funding,deribit,BTC-PERPETUAL,perp,2025-09-19 17:00:00+00:00,2025-09-19 17:00:00+00:00,8h,3.3222308687418466e-06,116138.25,115931.3
v1,funding,deribit,BTC-PERPETUAL,perp,2020-12-05 16:00:00+00:00,2020-12-05 16:00:00+00:00,8h,4.6808576609808033e-05,19123.9,19091.89
v1,funding,deribit,BTC-PERPETUAL,perp,2026-04-30 07:00:00+00:00,2026-04-30 07:00:00+00:00,8h,0.0,75725.72,75569.33
v1,funding,deribit,BTC-PERPETUAL,perp,2024-08-14 17:00:00+00:00,2024-08-14 17:00:00+00:00,8h,-1.6519715970301396e-06,59143.25,59458.54
v1,funding,deribit,BTC-PERPETUAL,perp,2021-08-24 10:00:00+00:00,2021-08-24 10:00:00+00:00,8h,1.9416498907046933e-05,49622.58,49712.16
v1,funding,deribit,BTC-PERPETUAL,perp,2021-08-23 00:00:00+00:00,2021-08-23 00:00:00+00:00,8h,3.540808884581937e-05,49288.92,49300.69
v1,funding,deribit,BTC-PERPETUAL,perp,2022-01-02 15:00:00+00:00,2022-01-02 15:00:00+00:00,8h,4.627692816861059e-06,47126.4,47147.64
v1,funding,deribit,BTC-PERPETUAL,perp,2021-04-19 19:00:00+00:00,2021-04-19 19:00:00+00:00,8h,5.014689277672156e-05,55705.5,55446.38
v1,funding,deribit,BTC-PERPETUAL,perp,2026-04-24 21:00:00+00:00,2026-04-24 21:00:00+00:00,8h,-1.5854285315007298e-05,77747.01,77652.19
v1,funding,deribit,BTC-PERPETUAL,perp,2019-10-13 15:00:00+00:00,2019-10-13 15:00:00+00:00,8h,-4.254252924607915e-07,8426.91,8432.82
