schema_version,dataset_type,exchange,symbol,instrument_type,open_time,close_time,timeframe,funding_rate,index_price,mark_price
v1,funding,deribit,ETH-PERPETUAL,perp,2025-09-19 17:00:00+00:00,2025-09-19 17:00:00+00:00,8h,-6.90134903337898e-05,4483.35,4476.57
v1,funding,deribit,ETH-PERPETUAL,perp,2020-12-05 16:00:00+00:00,2020-12-05 16:00:00+00:00,8h,1.1863305948460277e-07,592.96,591.35
v1,funding,deribit,ETH-PERPETUAL,perp,2026-04-30 07:00:00+00:00,2026-04-30 07:00:00+00:00,8h,-7.924847261218643e-06,2247.06,2241.94
v1,funding,deribit,ETH-PERPETUAL,perp,2024-08-14 17:00:00+00:00,2024-08-14 17:00:00+00:00,8h,-7.500897487787623e-05,2664.61,2675.39
v1,funding,deribit,ETH-PERPETUAL,perp,2021-08-24 10:00:00+00:00,2021-08-24 10:00:00+00:00,8h,6.65103625132092e-05,3327.21,3335.85
v1,funding,deribit,ETH-PERPETUAL,perp,2021-08-23 00:00:00+00:00,2021-08-23 00:00:00+00:00,8h,-6.144522343155248e-05,3241.39,3218.28
v1,funding,deribit,ETH-PERPETUAL,perp,2022-01-02 15:00:00+00:00,2022-01-02 15:00:00+00:00,8h,4.3407494524304055e-08,3753.27,3745.77
v1,funding,deribit,ETH-PERPETUAL,perp,2021-04-19 19:00:00+00:00,2021-04-19 19:00:00+00:00,8h,0.00029051226360611175,2171.74,2148.2
v1,funding,deribit,ETH-PERPETUAL,perp,2026-04-24 21:00:00+00:00,2026-04-24 21:00:00+00:00,8h,-3.3629481088447636e-05,2327.26,2322.08
v1,funding,deribit,ETH-PERPETUAL,perp,2019-10-13 15:00:00+00:00,2019-10-13 15:00:00+00:00,8h,-9.501769744730723e-05,183.85,183.83
