schema_version,dataset_type,exchange,symbol,instrument_type,open_time,close_time,timeframe,funding_rate,index_price,mark_price
v1,funding,deribit,SOL-PERPETUAL,perp,2024-11-11 09:00:00+00:00,2024-11-11 09:00:00+00:00,8h,0.0007005691156404893,208.9632,208.1955
v1,funding,deribit,SOL-PERPETUAL,perp,2025-12-11 12:00:00+00:00,2025-12-11 12:00:00+00:00,8h,-4.759614834963983e-06,130.9688,130.874
v1,funding,deribit,SOL-PERPETUAL,perp,2024-01-21 11:00:00+00:00,2024-01-21 11:00:00+00:00,8h,0.00014188448145576666,93.5117,93.2007
v1,funding,deribit,SOL-PERPETUAL,perp,2024-01-23 17:00:00+00:00,2024-01-23 17:00:00+00:00,8h,0.000241971596907981,83.186,82.6272
v1,funding,deribit,SOL-PERPETUAL,perp,2023-01-02 00:00:00+00:00,2023-01-02 00:00:00+00:00,8h,-0.00016731767350063514,9.9786,9.9656
v1,funding,deribit,SOL-PERPETUAL,perp,2024-06-30 03:00:00+00:00,2024-06-30 03:00:00+00:00,8h,0.0007281302862914148,138.7316,139.8947
v1,funding,deribit,SOL-PERPETUAL,perp,2023-10-04 09:00:00+00:00,2023-10-04 09:00:00+00:00,8h,0.00018768898171301495,23.4994,23.1678
v1,funding,deribit,SOL-PERPETUAL,perp,2024-11-15 14:00:00+00:00,2024-11-15 14:00:00+00:00,8h,0.00014005121992976462,214.7598,214.0297
v1,funding,deribit,SOL-PERPETUAL,perp,2025-07-28 14:00:00+00:00,2025-07-28 14:00:00+00:00,8h,0.000189548955991907,190.1875,192.9029
v1,funding,deribit,SOL-PERPETUAL,perp,2024-02-07 02:00:00+00:00,2024-02-07 02:00:00+00:00,8h,0.00021102062552572916,97.0783,97.0013
