schema_version,dataset_type,exchange,symbol,instrument_type,event_time,ingested_at,run_id,source_endpoint,open_time,close_time,timeframe,open_interest,open_interest_value
v1,oi,deribit,ETH-PERPETUAL,perp,2023-03-29 08:00:00.030000+00:00,2026-05-05 08:04:41.395025+00:00,sample_20260505T080441394993Z,public_open_interest,2023-03-29 08:00:00.030000+00:00,2023-03-29 08:00:00.030000+00:00,1m,447901257.0,0.0
v1,oi,deribit,ETH-PERPETUAL,perp,2024-03-22 08:00:00.082000+00:00,2026-05-05 08:04:41.395025+00:00,sample_20260505T080441394993Z,public_open_interest,2024-03-22 08:00:00.082000+00:00,2024-03-22 08:00:00.082000+00:00,1m,690658268.0,0.0
v1,oi,deribit,ETH-PERPETUAL,perp,2019-10-11 08:00:00.155000+00:00,2026-05-05 08:04:41.395025+00:00,sample_20260505T080441394993Z,public_open_interest,2019-10-11 08:00:00.155000+00:00,2019-10-11 08:00:00.155000+00:00,1m,10679623.0,0.0
v1,oi,deribit,ETH-PERPETUAL,perp,2025-11-10 08:00:00.045000+00:00,2026-05-05 08:04:41.395025+00:00,sample_20260505T080441394993Z,public_open_interest,2025-11-10 08:00:00.045000+00:00,2025-11-10 08:00:00.045000+00:00,1m,377900647.0,0.0
v1,oi,deribit,ETH-PERPETUAL,perp,2025-09-04 08:00:00.041000+00:00,2026-05-05 08:04:41.395025+00:00,sample_20260505T080441394993Z,public_open_interest,2025-09-04 08:00:00.041000+00:00,2025-09-04 08:00:00.041000+00:00,1m,527530867.0,0.0
v1,oi,deribit,ETH-PERPETUAL,perp,2023-06-19 08:00:00.020000+00:00,2026-05-05 08:04:41.395025+00:00,sample_20260505T080441394993Z,public_open_interest,2023-06-19 08:00:00.020000+00:00,2023-06-19 08:00:00.020000+00:00,1m,399764070.0,0.0
v1,oi,deribit,ETH-PERPETUAL,perp,2024-01-03 08:00:00.024000+00:00,2026-05-05 08:04:41.395025+00:00,sample_20260505T080441394993Z,public_open_interest,2024-01-03 08:00:00.024000+00:00,2024-01-03 08:00:00.024000+00:00,1m,563388040.0,0.0
v1,oi,deribit,ETH-PERPETUAL,perp,2019-10-12 08:00:00.153000+00:00,2026-05-05 08:04:41.395025+00:00,sample_20260505T080441394993Z,public_open_interest,2019-10-12 08:00:00.153000+00:00,2019-10-12 08:00:00.153000+00:00,1m,9854035.0,0.0
v1,oi,deribit,ETH-PERPETUAL,perp,2023-12-15 08:00:00.033000+00:00,2026-05-05 08:04:41.395025+00:00,sample_20260505T080441394993Z,public_open_interest,2023-12-15 08:00:00.033000+00:00,2023-12-15 08:00:00.033000+00:00,1m,645511899.0,0.0
v1,oi,deribit,ETH-PERPETUAL,perp,2019-09-06 08:00:00.147000+00:00,2026-05-05 08:04:41.395025+00:00,sample_20260505T080441394993Z,public_open_interest,2019-09-06 08:00:00.147000+00:00,2019-09-06 08:00:00.147000+00:00,1m,9414617.0,0.0
