schema_version,dataset_type,exchange,symbol,instrument_type,event_time,ingested_at,run_id,source_endpoint,open_time,close_time,timeframe,open_interest,open_interest_value
v1,oi,deribit,SOL-PERPETUAL,perp,2024-09-08 08:00:00.025000+00:00,2026-05-05 08:04:41.395025+00:00,sample_20260505T080441394993Z,public_open_interest,2024-09-08 08:00:00.025000+00:00,2024-09-08 08:00:00.025000+00:00,1m,16921761.0,0.0
v1,oi,deribit,SOL-PERPETUAL,perp,2023-11-23 08:00:00.010000+00:00,2026-05-05 08:04:41.395025+00:00,sample_20260505T080441394993Z,public_open_interest,2023-11-23 08:00:00.010000+00:00,2023-11-23 08:00:00.010000+00:00,1m,2381540.0,0.0
v1,oi,deribit,SOL-PERPETUAL,perp,2025-12-30 08:00:00.055000+00:00,2026-05-05 08:04:41.395025+00:00,sample_20260505T080441394993Z,public_open_interest,2025-12-30 08:00:00.055000+00:00,2025-12-30 08:00:00.055000+00:00,1m,13519582.0,0.0
v1,oi,deribit,SOL-PERPETUAL,perp,2024-10-12 08:00:00.030000+00:00,2026-05-05 08:04:41.395025+00:00,sample_20260505T080441394993Z,public_open_interest,2024-10-12 08:00:00.030000+00:00,2024-10-12 08:00:00.030000+00:00,1m,18059474.0,0.0
v1,oi,deribit,SOL-PERPETUAL,perp,2023-01-13 08:00:00.011000+00:00,2026-05-05 08:04:41.395025+00:00,sample_20260505T080441394993Z,public_open_interest,2023-01-13 08:00:00.011000+00:00,2023-01-13 08:00:00.011000+00:00,1m,743771.0,0.0
v1,oi,deribit,SOL-PERPETUAL,perp,2026-04-02 08:00:00.088000+00:00,2026-05-05 08:04:41.395025+00:00,sample_20260505T080441394993Z,public_open_interest,2026-04-02 08:00:00.088000+00:00,2026-04-02 08:00:00.088000+00:00,1m,14939121.0,0.0
v1,oi,deribit,SOL-PERPETUAL,perp,2022-09-07 08:00:00.026000+00:00,2026-05-05 08:04:41.395025+00:00,sample_20260505T080441394993Z,public_open_interest,2022-09-07 08:00:00.026000+00:00,2022-09-07 08:00:00.026000+00:00,1m,949203.0,0.0
v1,oi,deribit,SOL-PERPETUAL,perp,2023-02-21 08:00:00.045000+00:00,2026-05-05 08:04:41.395025+00:00,sample_20260505T080441394993Z,public_open_interest,2023-02-21 08:00:00.045000+00:00,2023-02-21 08:00:00.045000+00:00,1m,1090832.0,0.0
v1,oi,deribit,SOL-PERPETUAL,perp,2025-10-13 08:00:00.067000+00:00,2026-05-05 08:04:41.395025+00:00,sample_20260505T080441394993Z,public_open_interest,2025-10-13 08:00:00.067000+00:00,2025-10-13 08:00:00.067000+00:00,1m,35672964.0,0.0
v1,oi,deribit,SOL-PERPETUAL,perp,2025-07-27 08:00:00.047000+00:00,2026-05-05 08:04:41.395025+00:00,sample_20260505T080441394993Z,public_open_interest,2025-07-27 08:00:00.047000+00:00,2025-07-27 08:00:00.047000+00:00,1m,24169252.0,0.0
