schema_version,dataset_type,exchange,symbol,instrument_type,event_time,ingested_at,run_id,source_endpoint,open_time,close_time,timeframe,open_price,high_price,low_price,close_price,volume,quote_volume,trade_count,origin_payload
v1,spot,deribit,ETH_USDC,spot,2026-05-05 07:23:00+00:00,2026-05-05 08:04:41.395025+00:00,sample_20260505T080441394993Z,public_market_data,2026-05-05 07:23:00+00:00,2026-05-05 07:23:59.999000+00:00,1m,2384.0,2385.0,2383.7,2385.0,0.8441,,0,"{'exchange': 'deribit', 'symbol': 'ETH_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 5, 7, 23, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 5, 7, 23, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 2384.0, 'high_price': 2385.0, 'low_price': 2383.7, 'close_price': 2385.0, 'volume': 0.8441, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,ETH_USDC,spot,2026-05-05 07:40:00+00:00,2026-05-05 08:04:41.395025+00:00,sample_20260505T080441394993Z,public_market_data,2026-05-05 07:40:00+00:00,2026-05-05 07:40:59.999000+00:00,1m,2388.0,2388.0,2387.0,2387.7,1.3017,,0,"{'exchange': 'deribit', 'symbol': 'ETH_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 5, 7, 40, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 5, 7, 40, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 2388.0, 'high_price': 2388.0, 'low_price': 2387.0, 'close_price': 2387.7, 'volume': 1.3017, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,ETH_USDC,spot,2026-05-05 07:38:00+00:00,2026-05-05 08:04:41.395025+00:00,sample_20260505T080441394993Z,public_market_data,2026-05-05 07:38:00+00:00,2026-05-05 07:38:59.999000+00:00,1m,2387.9,2387.9,2385.6,2386.4,1.7937,,0,"{'exchange': 'deribit', 'symbol': 'ETH_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 5, 7, 38, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 5, 7, 38, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 2387.9, 'high_price': 2387.9, 'low_price': 2385.6, 'close_price': 2386.4, 'volume': 1.7937, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,ETH_USDC,spot,2026-05-05 07:24:00+00:00,2026-05-05 08:04:41.395025+00:00,sample_20260505T080441394993Z,public_market_data,2026-05-05 07:24:00+00:00,2026-05-05 07:24:59.999000+00:00,1m,2384.2,2384.2,2383.3,2384.0,1.0203,,0,"{'exchange': 'deribit', 'symbol': 'ETH_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 5, 7, 24, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 5, 7, 24, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 2384.2, 'high_price': 2384.2, 'low_price': 2383.3, 'close_price': 2384.0, 'volume': 1.0203, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,ETH_USDC,spot,2026-05-05 07:31:00+00:00,2026-05-05 08:04:41.395025+00:00,sample_20260505T080441394993Z,public_market_data,2026-05-05 07:31:00+00:00,2026-05-05 07:31:59.999000+00:00,1m,2382.6,2382.9,2382.6,2382.9,0.0599,,0,"{'exchange': 'deribit', 'symbol': 'ETH_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 5, 7, 31, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 5, 7, 31, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 2382.6, 'high_price': 2382.9, 'low_price': 2382.6, 'close_price': 2382.9, 'volume': 0.0599, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,ETH_USDC,spot,2026-05-05 07:28:00+00:00,2026-05-05 08:04:41.395025+00:00,sample_20260505T080441394993Z,public_market_data,2026-05-05 07:28:00+00:00,2026-05-05 07:28:59.999000+00:00,1m,2383.7,2383.7,2383.7,2383.7,0.0042,,0,"{'exchange': 'deribit', 'symbol': 'ETH_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 5, 7, 28, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 5, 7, 28, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 2383.7, 'high_price': 2383.7, 'low_price': 2383.7, 'close_price': 2383.7, 'volume': 0.0042, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,ETH_USDC,spot,2026-05-05 07:34:00+00:00,2026-05-05 08:04:41.395025+00:00,sample_20260505T080441394993Z,public_market_data,2026-05-05 07:34:00+00:00,2026-05-05 07:34:59.999000+00:00,1m,2384.7,2384.7,2384.7,2384.7,0.0,,0,"{'exchange': 'deribit', 'symbol': 'ETH_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 5, 7, 34, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 5, 7, 34, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 2384.7, 'high_price': 2384.7, 'low_price': 2384.7, 'close_price': 2384.7, 'volume': 0.0, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,ETH_USDC,spot,2026-05-05 07:26:00+00:00,2026-05-05 08:04:41.395025+00:00,sample_20260505T080441394993Z,public_market_data,2026-05-05 07:26:00+00:00,2026-05-05 07:26:59.999000+00:00,1m,2383.0,2383.0,2383.0,2383.0,0.48,,0,"{'exchange': 'deribit', 'symbol': 'ETH_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 5, 7, 26, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 5, 7, 26, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 2383.0, 'high_price': 2383.0, 'low_price': 2383.0, 'close_price': 2383.0, 'volume': 0.48, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,ETH_USDC,spot,2026-05-05 07:41:00+00:00,2026-05-05 08:04:41.395025+00:00,sample_20260505T080441394993Z,public_market_data,2026-05-05 07:41:00+00:00,2026-05-05 07:41:59.999000+00:00,1m,2387.8,2388.2,2386.9,2386.9,1.0064,,0,"{'exchange': 'deribit', 'symbol': 'ETH_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 5, 7, 41, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 5, 7, 41, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 2387.8, 'high_price': 2388.2, 'low_price': 2386.9, 'close_price': 2386.9, 'volume': 1.0064, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,ETH_USDC,spot,2026-05-05 07:39:00+00:00,2026-05-05 08:04:41.395025+00:00,sample_20260505T080441394993Z,public_market_data,2026-05-05 07:39:00+00:00,2026-05-05 07:39:59.999000+00:00,1m,2388.3,2388.3,2388.3,2388.3,0.1047,,0,"{'exchange': 'deribit', 'symbol': 'ETH_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 5, 7, 39, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 5, 7, 39, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 2388.3, 'high_price': 2388.3, 'low_price': 2388.3, 'close_price': 2388.3, 'volume': 0.1047, 'quote_volume': None, 'trade_count': 0}"
