schema_version,dataset_type,exchange,symbol,instrument_type,open_time,close_time,timeframe,funding_rate,index_price,mark_price
v1,funding,deribit,BTC-PERPETUAL,perp,2022-12-23 08:00:00+00:00,2022-12-23 15:59:59.999000+00:00,8h,-4.669814011599094e-06,16787.78,16840.98
v1,funding,deribit,BTC-PERPETUAL,perp,2022-12-25 00:00:00+00:00,2022-12-25 07:59:59.999000+00:00,8h,-5.318554335339471e-07,16830.49,16829.43
v1,funding,deribit,BTC-PERPETUAL,perp,2022-07-03 00:00:00+00:00,2022-07-03 07:59:59.999000+00:00,8h,2.621003243059332e-07,19121.72,19010.97
v1,funding,deribit,BTC-PERPETUAL,perp,2019-10-27 00:00:00+00:00,2019-10-27 07:59:59.999000+00:00,8h,0.0002125780585979867,9207.15,9210.49
v1,funding,deribit,BTC-PERPETUAL,perp,2022-01-29 08:00:00+00:00,2022-01-29 15:59:59.999000+00:00,8h,-7.492115715313897e-07,37654.77,38180.67
v1,funding,deribit,BTC-PERPETUAL,perp,2020-09-19 00:00:00+00:00,2020-09-19 07:59:59.999000+00:00,8h,1.789381799641099e-05,10948.18,10936.99
v1,funding,deribit,BTC-PERPETUAL,perp,2025-04-01 00:00:00+00:00,2025-04-01 07:59:59.999000+00:00,8h,3.5144159236590244e-05,83447.92,82992.93
v1,funding,deribit,BTC-PERPETUAL,perp,2023-11-11 16:00:00+00:00,2023-11-11 23:59:59.999000+00:00,8h,6.830033669685758e-05,36907.38,36982.22
v1,funding,deribit,BTC-PERPETUAL,perp,2020-03-27 08:00:00+00:00,2020-03-27 15:59:59.999000+00:00,8h,-0.00010705729817277127,6627.65,6601.38
v1,funding,deribit,BTC-PERPETUAL,perp,2022-12-30 16:00:00+00:00,2022-12-30 23:59:59.999000+00:00,8h,-5.545966431037585e-07,16571.64,16578.59
