schema_version,dataset_type,exchange,symbol,instrument_type,open_time,close_time,timeframe,funding_rate,index_price,mark_price
v1,funding,deribit,ETH-PERPETUAL,perp,2022-12-23 08:00:00+00:00,2022-12-23 15:59:59.999000+00:00,8h,1.4368482041586661e-06,1215.12,1220.41
v1,funding,deribit,ETH-PERPETUAL,perp,2022-12-25 00:00:00+00:00,2022-12-25 07:59:59.999000+00:00,8h,1.6098463736062746e-06,1218.9,1218.51
v1,funding,deribit,ETH-PERPETUAL,perp,2022-07-03 00:00:00+00:00,2022-07-03 07:59:59.999000+00:00,8h,-4.50709153313109e-05,1063.22,1056.53
v1,funding,deribit,ETH-PERPETUAL,perp,2019-10-27 00:00:00+00:00,2019-10-27 07:59:59.999000+00:00,8h,2.797633504408569e-05,180.08,179.89
v1,funding,deribit,ETH-PERPETUAL,perp,2022-01-29 08:00:00+00:00,2022-01-29 15:59:59.999000+00:00,8h,-3.9742790530858514e-05,2543.7,2606.32
v1,funding,deribit,ETH-PERPETUAL,perp,2020-09-19 00:00:00+00:00,2020-09-19 07:59:59.999000+00:00,8h,-1.8992667222481605e-06,380.68,379.61
v1,funding,deribit,ETH-PERPETUAL,perp,2025-04-01 00:00:00+00:00,2025-04-01 07:59:59.999000+00:00,8h,4.3159133793979056e-06,1857.39,1841.28
v1,funding,deribit,ETH-PERPETUAL,perp,2023-11-11 16:00:00+00:00,2023-11-11 23:59:59.999000+00:00,8h,0.0001600510576705626,2045.76,2045.86
v1,funding,deribit,ETH-PERPETUAL,perp,2020-03-27 08:00:00+00:00,2020-03-27 15:59:59.999000+00:00,8h,-0.00038694721161385893,135.54,135.16
v1,funding,deribit,ETH-PERPETUAL,perp,2022-12-30 16:00:00+00:00,2022-12-30 23:59:59.999000+00:00,8h,-9.108614196337819e-06,1197.6,1197.65
