schema_version,dataset_type,exchange,symbol,instrument_type,open_time,close_time,timeframe,funding_rate,index_price,mark_price
v1,funding,deribit,SOL-PERPETUAL,perp,2026-04-19 08:00:00+00:00,2026-04-19 15:59:59.999000+00:00,8h,-3.48411232780752e-06,86.5803,86.3805
v1,funding,deribit,SOL-PERPETUAL,perp,2023-05-16 00:00:00+00:00,2023-05-16 07:59:59.999000+00:00,8h,0.00017810931140255064,20.8834,20.8271
v1,funding,deribit,SOL-PERPETUAL,perp,2022-11-09 16:00:00+00:00,2022-11-09 23:59:59.999000+00:00,8h,-0.03778729158099297,14.3618,12.8556
v1,funding,deribit,SOL-PERPETUAL,perp,2025-08-17 00:00:00+00:00,2025-08-17 07:59:59.999000+00:00,8h,0.00019634831580781596,192.0815,192.7553
v1,funding,deribit,SOL-PERPETUAL,perp,2022-08-14 00:00:00+00:00,2022-08-14 07:59:59.999000+00:00,8h,-3.366214083005327e-05,47.477,47.071
v1,funding,deribit,SOL-PERPETUAL,perp,2025-05-10 16:00:00+00:00,2025-05-10 23:59:59.999000+00:00,8h,7.809626638416846e-05,174.9987,174.2157
v1,funding,deribit,SOL-PERPETUAL,perp,2024-04-19 08:00:00+00:00,2024-04-19 15:59:59.999000+00:00,8h,2.320128796779752e-05,145.6459,144.4269
v1,funding,deribit,SOL-PERPETUAL,perp,2023-05-10 08:00:00+00:00,2023-05-10 15:59:59.999000+00:00,8h,4.203989013913371e-05,21.0961,21.1561
v1,funding,deribit,SOL-PERPETUAL,perp,2026-04-05 16:00:00+00:00,2026-04-05 23:59:59.999000+00:00,8h,1.4245521498637307e-07,80.5547,79.7266
v1,funding,deribit,SOL-PERPETUAL,perp,2023-07-19 08:00:00+00:00,2023-07-19 15:59:59.999000+00:00,8h,0.00012795528299517514,25.9974,26.3832
