schema_version,dataset_type,exchange,symbol,instrument_type,event_time,ingested_at,run_id,source_endpoint,open_time,close_time,timeframe,open_interest,open_interest_value
v1,oi,deribit,BTCUSDT,perp,2026-04-27 10:00:00+00:00,2026-05-01 06:27:06.291472+00:00,sample_20260501T062706291448Z,public_open_interest,2026-04-27 10:00:00+00:00,2026-04-27 10:00:59.999000+00:00,1m,123.0,456.0
v1,oi,deribit,BTCUSDT,perp,2026-04-27 10:00:00+00:00,2026-05-01 06:27:06.291472+00:00,sample_20260501T062706291448Z,public_open_interest,2026-04-27 10:00:00+00:00,2026-04-27 10:00:59.999000+00:00,1m,123.0,456.0
v1,oi,deribit,BTCUSDT,perp,2026-04-27 10:00:00+00:00,2026-05-01 06:27:06.291472+00:00,sample_20260501T062706291448Z,public_open_interest,2026-04-27 10:00:00+00:00,2026-04-27 10:00:59.999000+00:00,1m,123.0,456.0
v1,oi,deribit,BTCUSDT,perp,2026-04-27 10:00:00+00:00,2026-05-01 06:27:06.291472+00:00,sample_20260501T062706291448Z,public_open_interest,2026-04-27 10:00:00+00:00,2026-04-27 10:00:59.999000+00:00,1m,123.0,456.0
v1,oi,deribit,BTCUSDT,perp,2026-04-27 10:00:00+00:00,2026-05-01 06:27:06.291472+00:00,sample_20260501T062706291448Z,public_open_interest,2026-04-27 10:00:00+00:00,2026-04-27 10:00:59.999000+00:00,1m,123.0,456.0
v1,oi,deribit,BTCUSDT,perp,2026-04-27 10:00:00+00:00,2026-05-01 06:27:06.291472+00:00,sample_20260501T062706291448Z,public_open_interest,2026-04-27 10:00:00+00:00,2026-04-27 10:00:59.999000+00:00,1m,123.0,456.0
v1,oi,deribit,BTCUSDT,perp,2026-04-27 10:00:00+00:00,2026-05-01 06:27:06.291472+00:00,sample_20260501T062706291448Z,public_open_interest,2026-04-27 10:00:00+00:00,2026-04-27 10:00:59.999000+00:00,1m,123.0,456.0
v1,oi,deribit,BTCUSDT,perp,2026-04-27 10:00:00+00:00,2026-05-01 06:27:06.291472+00:00,sample_20260501T062706291448Z,public_open_interest,2026-04-27 10:00:00+00:00,2026-04-27 10:00:59.999000+00:00,1m,123.0,456.0
v1,oi,deribit,BTCUSDT,perp,2026-04-27 10:00:00+00:00,2026-05-01 06:27:06.291472+00:00,sample_20260501T062706291448Z,public_open_interest,2026-04-27 10:00:00+00:00,2026-04-27 10:00:59.999000+00:00,1m,123.0,456.0
v1,oi,deribit,BTCUSDT,perp,2026-04-27 10:00:00+00:00,2026-05-01 06:27:06.291472+00:00,sample_20260501T062706291448Z,public_open_interest,2026-04-27 10:00:00+00:00,2026-04-27 10:00:59.999000+00:00,1m,123.0,456.0
