schema_version,dataset_type,exchange,symbol,instrument_type,event_time,ingested_at,run_id,source_endpoint,open_time,close_time,timeframe,open_interest,open_interest_value,oi_ffill,oi_is_observed,minutes_since_oi_observation
v1,oi_m1_feature,deribit,SOL-PERPETUAL,perp,2024-07-12 09:07:00+00:00,2026-05-03 15:24:28.883176+00:00,sample_20260503T152428883127Z,public_open_interest,2024-07-12 09:07:00+00:00,2024-07-12 09:07:59.999000+00:00,1m,13935505.0,0.0,13935505.0,False,67
v1,oi_m1_feature,deribit,SOL-PERPETUAL,perp,2023-03-07 23:48:00+00:00,2026-05-03 15:24:28.883176+00:00,sample_20260503T152428883127Z,public_open_interest,2023-03-07 23:48:00+00:00,2023-03-07 23:48:59.999000+00:00,1m,1024273.0,0.0,1024273.0,False,948
v1,oi_m1_feature,deribit,SOL-PERPETUAL,perp,2025-10-01 02:40:00+00:00,2026-05-03 15:24:28.883176+00:00,sample_20260503T152428883127Z,public_open_interest,2025-10-01 02:40:00+00:00,2025-10-01 02:40:59.999000+00:00,1m,31047027.0,0.0,31047027.0,False,1120
v1,oi_m1_feature,deribit,SOL-PERPETUAL,perp,2025-04-20 00:27:00+00:00,2026-05-03 15:24:28.883176+00:00,sample_20260503T152428883127Z,public_open_interest,2025-04-20 00:27:00+00:00,2025-04-20 00:27:59.999000+00:00,1m,12139008.0,0.0,12139008.0,False,987
v1,oi_m1_feature,deribit,SOL-PERPETUAL,perp,2023-06-17 05:50:00+00:00,2026-05-03 15:24:28.883176+00:00,sample_20260503T152428883127Z,public_open_interest,2023-06-17 05:50:00+00:00,2023-06-17 05:50:59.999000+00:00,1m,579763.0,0.0,579763.0,False,1310
v1,oi_m1_feature,deribit,SOL-PERPETUAL,perp,2025-07-30 07:42:00+00:00,2026-05-03 15:24:28.883176+00:00,sample_20260503T152428883127Z,public_open_interest,2025-07-30 07:42:00+00:00,2025-07-30 07:42:59.999000+00:00,1m,24652248.0,0.0,24652248.0,False,1422
v1,oi_m1_feature,deribit,SOL-PERPETUAL,perp,2025-05-21 19:39:00+00:00,2026-05-03 15:24:28.883176+00:00,sample_20260503T152428883127Z,public_open_interest,2025-05-21 19:39:00+00:00,2025-05-21 19:39:59.999000+00:00,1m,16828365.0,0.0,16828365.0,False,699
v1,oi_m1_feature,deribit,SOL-PERPETUAL,perp,2024-10-17 03:19:00+00:00,2026-05-03 15:24:28.883176+00:00,sample_20260503T152428883127Z,public_open_interest,2024-10-17 03:19:00+00:00,2024-10-17 03:19:59.999000+00:00,1m,20435330.0,0.0,20435330.0,False,1159
v1,oi_m1_feature,deribit,SOL-PERPETUAL,perp,2024-09-26 11:11:00+00:00,2026-05-03 15:24:28.883176+00:00,sample_20260503T152428883127Z,public_open_interest,2024-09-26 11:11:00+00:00,2024-09-26 11:11:59.999000+00:00,1m,19916952.0,0.0,19916952.0,False,191
v1,oi_m1_feature,deribit,SOL-PERPETUAL,perp,2022-12-18 13:18:00+00:00,2026-05-03 15:24:28.883176+00:00,sample_20260503T152428883127Z,public_open_interest,2022-12-18 13:18:00+00:00,2022-12-18 13:18:59.999000+00:00,1m,408679.0,0.0,408679.0,False,318
