schema_version,dataset_type,exchange,symbol,instrument_type,event_time,ingested_at,run_id,source_endpoint,open_time,close_time,timeframe,open,high,low,close,volume,quote_volume,trade_count,extra
v1,perp,deribit,SOL-PERPETUAL,perp,2023-03-03 12:29:00+00:00,2026-05-03 15:24:28.883176+00:00,sample_20260503T152428883127Z,public_market_data,2023-03-03 12:29:00+00:00,2023-03-03 12:29:59.999000+00:00,1m,9.13,9.13,9.13,9.13,0.0,,0,"{'exchange': 'deribit', 'symbol': 'SOL-PERPETUAL', 'interval': '1m', 'open_time': datetime.datetime(2023, 3, 3, 12, 29, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'close_time': datetime.datetime(2023, 3, 3, 12, 29, 59, 999000, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'open_price': 9.13, 'high_price': 9.13, 'low_price': 9.13, 'close_price': 9.13, 'volume': 0.0, 'quote_volume': None, 'trade_count': 0}"
v1,perp,deribit,SOL-PERPETUAL,perp,2025-12-04 18:03:00+00:00,2026-05-03 15:24:28.883176+00:00,sample_20260503T152428883127Z,public_market_data,2025-12-04 18:03:00+00:00,2025-12-04 18:03:59.999000+00:00,1m,9.13,9.13,9.13,9.13,0.0,,0,"{'exchange': 'deribit', 'symbol': 'SOL-PERPETUAL', 'interval': '1m', 'open_time': datetime.datetime(2025, 12, 4, 18, 3, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'close_time': datetime.datetime(2025, 12, 4, 18, 3, 59, 999000, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'open_price': 9.13, 'high_price': 9.13, 'low_price': 9.13, 'close_price': 9.13, 'volume': 0.0, 'quote_volume': None, 'trade_count': 0}"
v1,perp,deribit,SOL-PERPETUAL,perp,2024-02-13 15:35:00+00:00,2026-05-03 15:24:28.883176+00:00,sample_20260503T152428883127Z,public_market_data,2024-02-13 15:35:00+00:00,2024-02-13 15:35:59.999000+00:00,1m,9.13,9.13,9.13,9.13,0.0,,0,"{'exchange': 'deribit', 'symbol': 'SOL-PERPETUAL', 'interval': '1m', 'open_time': datetime.datetime(2024, 2, 13, 15, 35, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'close_time': datetime.datetime(2024, 2, 13, 15, 35, 59, 999000, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'open_price': 9.13, 'high_price': 9.13, 'low_price': 9.13, 'close_price': 9.13, 'volume': 0.0, 'quote_volume': None, 'trade_count': 0}"
v1,perp,deribit,SOL-PERPETUAL,perp,2025-08-01 08:55:00+00:00,2026-05-03 15:24:28.883176+00:00,sample_20260503T152428883127Z,public_market_data,2025-08-01 08:55:00+00:00,2025-08-01 08:55:59.999000+00:00,1m,9.13,9.13,9.13,9.13,0.0,,0,"{'exchange': 'deribit', 'symbol': 'SOL-PERPETUAL', 'interval': '1m', 'open_time': datetime.datetime(2025, 8, 1, 8, 55, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'close_time': datetime.datetime(2025, 8, 1, 8, 55, 59, 999000, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'open_price': 9.13, 'high_price': 9.13, 'low_price': 9.13, 'close_price': 9.13, 'volume': 0.0, 'quote_volume': None, 'trade_count': 0}"
v1,perp,deribit,SOL-PERPETUAL,perp,2023-04-04 02:11:00+00:00,2026-05-03 15:24:28.883176+00:00,sample_20260503T152428883127Z,public_market_data,2023-04-04 02:11:00+00:00,2023-04-04 02:11:59.999000+00:00,1m,9.13,9.13,9.13,9.13,0.0,,0,"{'exchange': 'deribit', 'symbol': 'SOL-PERPETUAL', 'interval': '1m', 'open_time': datetime.datetime(2023, 4, 4, 2, 11, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'close_time': datetime.datetime(2023, 4, 4, 2, 11, 59, 999000, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'open_price': 9.13, 'high_price': 9.13, 'low_price': 9.13, 'close_price': 9.13, 'volume': 0.0, 'quote_volume': None, 'trade_count': 0}"
v1,perp,deribit,SOL-PERPETUAL,perp,2023-10-12 13:23:00+00:00,2026-05-03 15:24:28.883176+00:00,sample_20260503T152428883127Z,public_market_data,2023-10-12 13:23:00+00:00,2023-10-12 13:23:59.999000+00:00,1m,9.13,9.13,9.13,9.13,0.0,,0,"{'exchange': 'deribit', 'symbol': 'SOL-PERPETUAL', 'interval': '1m', 'open_time': datetime.datetime(2023, 10, 12, 13, 23, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'close_time': datetime.datetime(2023, 10, 12, 13, 23, 59, 999000, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'open_price': 9.13, 'high_price': 9.13, 'low_price': 9.13, 'close_price': 9.13, 'volume': 0.0, 'quote_volume': None, 'trade_count': 0}"
v1,perp,deribit,SOL-PERPETUAL,perp,2024-07-06 16:47:00+00:00,2026-05-03 15:24:28.883176+00:00,sample_20260503T152428883127Z,public_market_data,2024-07-06 16:47:00+00:00,2024-07-06 16:47:59.999000+00:00,1m,9.13,9.13,9.13,9.13,0.0,,0,"{'exchange': 'deribit', 'symbol': 'SOL-PERPETUAL', 'interval': '1m', 'open_time': datetime.datetime(2024, 7, 6, 16, 47, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'close_time': datetime.datetime(2024, 7, 6, 16, 47, 59, 999000, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'open_price': 9.13, 'high_price': 9.13, 'low_price': 9.13, 'close_price': 9.13, 'volume': 0.0, 'quote_volume': None, 'trade_count': 0}"
v1,perp,deribit,SOL-PERPETUAL,perp,2024-03-22 03:15:00+00:00,2026-05-03 15:24:28.883176+00:00,sample_20260503T152428883127Z,public_market_data,2024-03-22 03:15:00+00:00,2024-03-22 03:15:59.999000+00:00,1m,9.13,9.13,9.13,9.13,0.0,,0,"{'exchange': 'deribit', 'symbol': 'SOL-PERPETUAL', 'interval': '1m', 'open_time': datetime.datetime(2024, 3, 22, 3, 15, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'close_time': datetime.datetime(2024, 3, 22, 3, 15, 59, 999000, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'open_price': 9.13, 'high_price': 9.13, 'low_price': 9.13, 'close_price': 9.13, 'volume': 0.0, 'quote_volume': None, 'trade_count': 0}"
v1,perp,deribit,SOL-PERPETUAL,perp,2023-02-01 23:55:00+00:00,2026-05-03 15:24:28.883176+00:00,sample_20260503T152428883127Z,public_market_data,2023-02-01 23:55:00+00:00,2023-02-01 23:55:59.999000+00:00,1m,9.13,9.13,9.13,9.13,0.0,,0,"{'exchange': 'deribit', 'symbol': 'SOL-PERPETUAL', 'interval': '1m', 'open_time': datetime.datetime(2023, 2, 1, 23, 55, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'close_time': datetime.datetime(2023, 2, 1, 23, 55, 59, 999000, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'open_price': 9.13, 'high_price': 9.13, 'low_price': 9.13, 'close_price': 9.13, 'volume': 0.0, 'quote_volume': None, 'trade_count': 0}"
v1,perp,deribit,SOL-PERPETUAL,perp,2022-09-11 11:04:00+00:00,2026-05-03 15:24:28.883176+00:00,sample_20260503T152428883127Z,public_market_data,2022-09-11 11:04:00+00:00,2022-09-11 11:04:59.999000+00:00,1m,34.62,34.62,34.62,34.62,0.0,,0,"{'exchange': 'deribit', 'symbol': 'SOL-PERPETUAL', 'interval': '1m', 'open_time': datetime.datetime(2022, 9, 11, 11, 4, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'close_time': datetime.datetime(2022, 9, 11, 11, 4, 59, 999000, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'open_price': 34.62, 'high_price': 34.62, 'low_price': 34.62, 'close_price': 34.62, 'volume': 0.0, 'quote_volume': None, 'trade_count': 0}"
