schema_version,dataset_type,exchange,symbol,instrument_type,event_time,ingested_at,run_id,source_endpoint,open_time,close_time,timeframe,open,high,low,close,volume,quote_volume,trade_count,extra
v1,spot,deribit,BTC_USDC,spot,2026-05-01 19:13:00+00:00,2026-05-01 19:56:45.737068+00:00,sample_20260501T195645737046Z,public_market_data,2026-05-01 19:13:00+00:00,2026-05-01 19:13:59.999000+00:00,1m,78481.0,78481.0,78481.0,78481.0,0.0,,0,"{'exchange': 'deribit', 'symbol': 'BTC_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 1, 19, 13, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 1, 19, 13, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 78481.0, 'high_price': 78481.0, 'low_price': 78481.0, 'close_price': 78481.0, 'volume': 0.0, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,BTC_USDC,spot,2026-05-01 13:33:00+00:00,2026-05-01 19:56:45.737068+00:00,sample_20260501T195645737046Z,public_market_data,2026-05-01 13:33:00+00:00,2026-05-01 13:33:59.999000+00:00,1m,78473.0,78497.0,78473.0,78497.0,0.0578,,0,"{'exchange': 'deribit', 'symbol': 'BTC_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 1, 13, 33, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 1, 13, 33, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 78473.0, 'high_price': 78497.0, 'low_price': 78473.0, 'close_price': 78497.0, 'volume': 0.0578, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,BTC_USDC,spot,2026-05-01 16:21:00+00:00,2026-05-01 19:56:45.737068+00:00,sample_20260501T195645737046Z,public_market_data,2026-05-01 16:21:00+00:00,2026-05-01 16:21:59.999000+00:00,1m,78288.0,78288.0,78288.0,78288.0,0.0,,0,"{'exchange': 'deribit', 'symbol': 'BTC_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 1, 16, 21, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 1, 16, 21, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 78288.0, 'high_price': 78288.0, 'low_price': 78288.0, 'close_price': 78288.0, 'volume': 0.0, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,BTC_USDC,spot,2026-05-01 19:01:00+00:00,2026-05-01 19:56:45.737068+00:00,sample_20260501T195645737046Z,public_market_data,2026-05-01 19:01:00+00:00,2026-05-01 19:01:59.999000+00:00,1m,78452.0,78452.0,78452.0,78452.0,0.0,,0,"{'exchange': 'deribit', 'symbol': 'BTC_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 1, 19, 1, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 1, 19, 1, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 78452.0, 'high_price': 78452.0, 'low_price': 78452.0, 'close_price': 78452.0, 'volume': 0.0, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,BTC_USDC,spot,2026-05-01 05:53:00+00:00,2026-05-01 19:56:45.737068+00:00,sample_20260501T195645737046Z,public_market_data,2026-05-01 05:53:00+00:00,2026-05-01 05:53:59.999000+00:00,1m,77139.0,77172.0,77139.0,77149.0,0.0041,,0,"{'exchange': 'deribit', 'symbol': 'BTC_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 1, 5, 53, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 1, 5, 53, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 77139.0, 'high_price': 77172.0, 'low_price': 77139.0, 'close_price': 77149.0, 'volume': 0.0041, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,BTC_USDC,spot,2026-05-01 08:18:00+00:00,2026-05-01 19:56:45.737068+00:00,sample_20260501T195645737046Z,public_market_data,2026-05-01 08:18:00+00:00,2026-05-01 08:18:59.999000+00:00,1m,77352.0,77352.0,77352.0,77352.0,0.0,,0,"{'exchange': 'deribit', 'symbol': 'BTC_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 1, 8, 18, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 1, 8, 18, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 77352.0, 'high_price': 77352.0, 'low_price': 77352.0, 'close_price': 77352.0, 'volume': 0.0, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,BTC_USDC,spot,2026-05-01 15:00:00+00:00,2026-05-01 19:56:45.737068+00:00,sample_20260501T195645737046Z,public_market_data,2026-05-01 15:00:00+00:00,2026-05-01 15:00:59.999000+00:00,1m,78273.0,78273.0,78273.0,78273.0,0.0008,,0,"{'exchange': 'deribit', 'symbol': 'BTC_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 1, 15, 0, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 1, 15, 0, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 78273.0, 'high_price': 78273.0, 'low_price': 78273.0, 'close_price': 78273.0, 'volume': 0.0008, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,BTC_USDC,spot,2026-05-01 11:20:00+00:00,2026-05-01 19:56:45.737068+00:00,sample_20260501T195645737046Z,public_market_data,2026-05-01 11:20:00+00:00,2026-05-01 11:20:59.999000+00:00,1m,77440.0,77462.0,77415.0,77444.0,0.0232,,0,"{'exchange': 'deribit', 'symbol': 'BTC_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 1, 11, 20, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 1, 11, 20, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 77440.0, 'high_price': 77462.0, 'low_price': 77415.0, 'close_price': 77444.0, 'volume': 0.0232, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,BTC_USDC,spot,2026-05-01 18:00:00+00:00,2026-05-01 19:56:45.737068+00:00,sample_20260501T195645737046Z,public_market_data,2026-05-01 18:00:00+00:00,2026-05-01 18:00:59.999000+00:00,1m,78568.0,78596.0,78568.0,78576.0,0.1906,,0,"{'exchange': 'deribit', 'symbol': 'BTC_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 1, 18, 0, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 1, 18, 0, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 78568.0, 'high_price': 78596.0, 'low_price': 78568.0, 'close_price': 78576.0, 'volume': 0.1906, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,BTC_USDC,spot,2026-05-01 11:38:00+00:00,2026-05-01 19:56:45.737068+00:00,sample_20260501T195645737046Z,public_market_data,2026-05-01 11:38:00+00:00,2026-05-01 11:38:59.999000+00:00,1m,77357.0,77357.0,77357.0,77357.0,0.0,,0,"{'exchange': 'deribit', 'symbol': 'BTC_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 1, 11, 38, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 1, 11, 38, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 77357.0, 'high_price': 77357.0, 'low_price': 77357.0, 'close_price': 77357.0, 'volume': 0.0, 'quote_volume': None, 'trade_count': 0}"
