schema_version,dataset_type,exchange,symbol,instrument_type,event_time,ingested_at,run_id,source_endpoint,open_time,close_time,timeframe,open,high,low,close,volume,quote_volume,trade_count,extra
v1,spot,deribit,ETH_USDC,spot,2026-05-01 19:13:00+00:00,2026-05-01 19:56:45.737068+00:00,sample_20260501T195645737046Z,public_market_data,2026-05-01 19:13:00+00:00,2026-05-01 19:13:59.999000+00:00,1m,2307.1,2307.1,2307.1,2307.1,0.0,,0,"{'exchange': 'deribit', 'symbol': 'ETH_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 1, 19, 13, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 1, 19, 13, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 2307.1, 'high_price': 2307.1, 'low_price': 2307.1, 'close_price': 2307.1, 'volume': 0.0, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,ETH_USDC,spot,2026-05-01 13:33:00+00:00,2026-05-01 19:56:45.737068+00:00,sample_20260501T195645737046Z,public_market_data,2026-05-01 13:33:00+00:00,2026-05-01 13:33:59.999000+00:00,1m,2309.0,2309.0,2309.0,2309.0,0.0,,0,"{'exchange': 'deribit', 'symbol': 'ETH_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 1, 13, 33, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 1, 13, 33, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 2309.0, 'high_price': 2309.0, 'low_price': 2309.0, 'close_price': 2309.0, 'volume': 0.0, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,ETH_USDC,spot,2026-05-01 16:21:00+00:00,2026-05-01 19:56:45.737068+00:00,sample_20260501T195645737046Z,public_market_data,2026-05-01 16:21:00+00:00,2026-05-01 16:21:59.999000+00:00,1m,2303.8,2303.8,2303.8,2303.8,0.0,,0,"{'exchange': 'deribit', 'symbol': 'ETH_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 1, 16, 21, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 1, 16, 21, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 2303.8, 'high_price': 2303.8, 'low_price': 2303.8, 'close_price': 2303.8, 'volume': 0.0, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,ETH_USDC,spot,2026-05-01 19:01:00+00:00,2026-05-01 19:56:45.737068+00:00,sample_20260501T195645737046Z,public_market_data,2026-05-01 19:01:00+00:00,2026-05-01 19:01:59.999000+00:00,1m,2304.8,2304.8,2304.8,2304.8,0.0,,0,"{'exchange': 'deribit', 'symbol': 'ETH_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 1, 19, 1, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 1, 19, 1, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 2304.8, 'high_price': 2304.8, 'low_price': 2304.8, 'close_price': 2304.8, 'volume': 0.0, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,ETH_USDC,spot,2026-05-01 05:53:00+00:00,2026-05-01 19:56:45.737068+00:00,sample_20260501T195645737046Z,public_market_data,2026-05-01 05:53:00+00:00,2026-05-01 05:53:59.999000+00:00,1m,2285.0,2285.0,2285.0,2285.0,0.0,,0,"{'exchange': 'deribit', 'symbol': 'ETH_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 1, 5, 53, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 1, 5, 53, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 2285.0, 'high_price': 2285.0, 'low_price': 2285.0, 'close_price': 2285.0, 'volume': 0.0, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,ETH_USDC,spot,2026-05-01 08:18:00+00:00,2026-05-01 19:56:45.737068+00:00,sample_20260501T195645737046Z,public_market_data,2026-05-01 08:18:00+00:00,2026-05-01 08:18:59.999000+00:00,1m,2284.1,2284.5,2284.1,2284.5,0.1838,,0,"{'exchange': 'deribit', 'symbol': 'ETH_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 1, 8, 18, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 1, 8, 18, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 2284.1, 'high_price': 2284.5, 'low_price': 2284.1, 'close_price': 2284.5, 'volume': 0.1838, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,ETH_USDC,spot,2026-05-01 15:00:00+00:00,2026-05-01 19:56:45.737068+00:00,sample_20260501T195645737046Z,public_market_data,2026-05-01 15:00:00+00:00,2026-05-01 15:00:59.999000+00:00,1m,2308.2,2308.2,2306.4,2307.4,0.5736,,0,"{'exchange': 'deribit', 'symbol': 'ETH_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 1, 15, 0, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 1, 15, 0, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 2308.2, 'high_price': 2308.2, 'low_price': 2306.4, 'close_price': 2307.4, 'volume': 0.5736, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,ETH_USDC,spot,2026-05-01 11:20:00+00:00,2026-05-01 19:56:45.737068+00:00,sample_20260501T195645737046Z,public_market_data,2026-05-01 11:20:00+00:00,2026-05-01 11:20:59.999000+00:00,1m,2287.0,2287.0,2287.0,2287.0,0.1226,,0,"{'exchange': 'deribit', 'symbol': 'ETH_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 1, 11, 20, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 1, 11, 20, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 2287.0, 'high_price': 2287.0, 'low_price': 2287.0, 'close_price': 2287.0, 'volume': 0.1226, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,ETH_USDC,spot,2026-05-01 18:00:00+00:00,2026-05-01 19:56:45.737068+00:00,sample_20260501T195645737046Z,public_market_data,2026-05-01 18:00:00+00:00,2026-05-01 18:00:59.999000+00:00,1m,2311.0,2311.0,2311.0,2311.0,0.0035,,0,"{'exchange': 'deribit', 'symbol': 'ETH_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 1, 18, 0, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 1, 18, 0, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 2311.0, 'high_price': 2311.0, 'low_price': 2311.0, 'close_price': 2311.0, 'volume': 0.0035, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,ETH_USDC,spot,2026-05-01 11:38:00+00:00,2026-05-01 19:56:45.737068+00:00,sample_20260501T195645737046Z,public_market_data,2026-05-01 11:38:00+00:00,2026-05-01 11:38:59.999000+00:00,1m,2286.0,2286.0,2286.0,2286.0,0.0,,0,"{'exchange': 'deribit', 'symbol': 'ETH_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 1, 11, 38, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 1, 11, 38, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 2286.0, 'high_price': 2286.0, 'low_price': 2286.0, 'close_price': 2286.0, 'volume': 0.0, 'quote_volume': None, 'trade_count': 0}"
