schema_version,dataset_type,exchange,symbol,instrument_type,event_time,ingested_at,run_id,source_endpoint,open_time,close_time,timeframe,open,high,low,close,volume,quote_volume,trade_count,extra
v1,spot,deribit,SOL_USDC,spot,2026-05-01 08:49:00+00:00,2026-05-01 19:56:45.737068+00:00,sample_20260501T195645737046Z,public_market_data,2026-05-01 08:49:00+00:00,2026-05-01 08:49:59.999000+00:00,1m,84.19,84.19,84.19,84.19,0.0,,0,"{'exchange': 'deribit', 'symbol': 'SOL_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 1, 8, 49, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 1, 8, 49, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 84.19, 'high_price': 84.19, 'low_price': 84.19, 'close_price': 84.19, 'volume': 0.0, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,SOL_USDC,spot,2026-05-01 17:31:00+00:00,2026-05-01 19:56:45.737068+00:00,sample_20260501T195645737046Z,public_market_data,2026-05-01 17:31:00+00:00,2026-05-01 17:31:59.999000+00:00,1m,84.03,84.03,84.03,84.03,0.0,,0,"{'exchange': 'deribit', 'symbol': 'SOL_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 1, 17, 31, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 1, 17, 31, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 84.03, 'high_price': 84.03, 'low_price': 84.03, 'close_price': 84.03, 'volume': 0.0, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,SOL_USDC,spot,2026-05-01 16:06:00+00:00,2026-05-01 19:56:45.737068+00:00,sample_20260501T195645737046Z,public_market_data,2026-05-01 16:06:00+00:00,2026-05-01 16:06:59.999000+00:00,1m,84.33,84.33,84.33,84.33,0.0,,0,"{'exchange': 'deribit', 'symbol': 'SOL_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 1, 16, 6, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 1, 16, 6, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 84.33, 'high_price': 84.33, 'low_price': 84.33, 'close_price': 84.33, 'volume': 0.0, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,SOL_USDC,spot,2026-05-01 10:40:00+00:00,2026-05-01 19:56:45.737068+00:00,sample_20260501T195645737046Z,public_market_data,2026-05-01 10:40:00+00:00,2026-05-01 10:40:59.999000+00:00,1m,83.92,83.92,83.92,83.92,0.0,,0,"{'exchange': 'deribit', 'symbol': 'SOL_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 1, 10, 40, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 1, 10, 40, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 83.92, 'high_price': 83.92, 'low_price': 83.92, 'close_price': 83.92, 'volume': 0.0, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,SOL_USDC,spot,2026-05-01 05:54:00+00:00,2026-05-01 19:56:45.737068+00:00,sample_20260501T195645737046Z,public_market_data,2026-05-01 05:54:00+00:00,2026-05-01 05:54:59.999000+00:00,1m,84.11,84.11,84.11,84.11,0.0,,0,"{'exchange': 'deribit', 'symbol': 'SOL_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 1, 5, 54, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 1, 5, 54, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 84.11, 'high_price': 84.11, 'low_price': 84.11, 'close_price': 84.11, 'volume': 0.0, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,SOL_USDC,spot,2026-05-01 10:30:00+00:00,2026-05-01 19:56:45.737068+00:00,sample_20260501T195645737046Z,public_market_data,2026-05-01 10:30:00+00:00,2026-05-01 10:30:59.999000+00:00,1m,83.92,83.92,83.92,83.92,0.0,,0,"{'exchange': 'deribit', 'symbol': 'SOL_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 1, 10, 30, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 1, 10, 30, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 83.92, 'high_price': 83.92, 'low_price': 83.92, 'close_price': 83.92, 'volume': 0.0, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,SOL_USDC,spot,2026-05-01 15:24:00+00:00,2026-05-01 19:56:45.737068+00:00,sample_20260501T195645737046Z,public_market_data,2026-05-01 15:24:00+00:00,2026-05-01 15:24:59.999000+00:00,1m,84.36,84.36,84.36,84.36,1.1,,0,"{'exchange': 'deribit', 'symbol': 'SOL_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 1, 15, 24, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 1, 15, 24, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 84.36, 'high_price': 84.36, 'low_price': 84.36, 'close_price': 84.36, 'volume': 1.1, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,SOL_USDC,spot,2026-05-01 10:29:00+00:00,2026-05-01 19:56:45.737068+00:00,sample_20260501T195645737046Z,public_market_data,2026-05-01 10:29:00+00:00,2026-05-01 10:29:59.999000+00:00,1m,83.92,83.92,83.92,83.92,0.0,,0,"{'exchange': 'deribit', 'symbol': 'SOL_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 1, 10, 29, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 1, 10, 29, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 83.92, 'high_price': 83.92, 'low_price': 83.92, 'close_price': 83.92, 'volume': 0.0, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,SOL_USDC,spot,2026-05-01 13:36:00+00:00,2026-05-01 19:56:45.737068+00:00,sample_20260501T195645737046Z,public_market_data,2026-05-01 13:36:00+00:00,2026-05-01 13:36:59.999000+00:00,1m,84.49,84.5,84.48,84.48,3.3,,0,"{'exchange': 'deribit', 'symbol': 'SOL_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 1, 13, 36, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 1, 13, 36, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 84.49, 'high_price': 84.5, 'low_price': 84.48, 'close_price': 84.48, 'volume': 3.3, 'quote_volume': None, 'trade_count': 0}"
v1,spot,deribit,SOL_USDC,spot,2026-05-01 15:56:00+00:00,2026-05-01 19:56:45.737068+00:00,sample_20260501T195645737046Z,public_market_data,2026-05-01 15:56:00+00:00,2026-05-01 15:56:59.999000+00:00,1m,84.33,84.33,84.33,84.33,0.0,,0,"{'exchange': 'deribit', 'symbol': 'SOL_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 5, 1, 15, 56, tzinfo=datetime.timezone.utc), 'close_time': datetime.datetime(2026, 5, 1, 15, 56, 59, 999000, tzinfo=datetime.timezone.utc), 'open_price': 84.33, 'high_price': 84.33, 'low_price': 84.33, 'close_price': 84.33, 'volume': 0.0, 'quote_volume': None, 'trade_count': 0}"
