schema_version,dataset_type,exchange,symbol,instrument_type,event_time,ingested_at,run_id,source_endpoint,open_time,close_time,timeframe,open,high,low,close,volume,quote_volume,trade_count,extra
v1,spot,deribit,ETH_USDC,spot,2025-05-01 10:29:00+00:00,2026-05-01 05:23:14.809361+00:00,sample_20260501T052314809334Z,public_market_data,2025-05-01 10:29:00+00:00,2025-05-01 10:29:59.999000+00:00,1m,1842.0,1843.5,1842.0,1842.5,0.9295,0.9295,0,"{'exchange': 'deribit', 'symbol': 'ETH_USDC', 'interval': '1m', 'open_time': datetime.datetime(2025, 5, 1, 10, 29, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'close_time': datetime.datetime(2025, 5, 1, 10, 29, 59, 999000, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'open_price': 1842.0, 'high_price': 1843.5, 'low_price': 1842.0, 'close_price': 1842.5, 'volume': 0.9295, 'quote_volume': 0.9295, 'trade_count': 0}"
v1,spot,deribit,ETH_USDC,spot,2026-02-03 04:13:00+00:00,2026-05-01 05:23:14.809361+00:00,sample_20260501T052314809334Z,public_market_data,2026-02-03 04:13:00+00:00,2026-02-03 04:13:59.999000+00:00,1m,2344.5,2344.5,2344.5,2344.5,0.1706,0.1706,0,"{'exchange': 'deribit', 'symbol': 'ETH_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 2, 3, 4, 13, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'close_time': datetime.datetime(2026, 2, 3, 4, 13, 59, 999000, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'open_price': 2344.5, 'high_price': 2344.5, 'low_price': 2344.5, 'close_price': 2344.5, 'volume': 0.1706, 'quote_volume': 0.1706, 'trade_count': 0}"
v1,spot,deribit,ETH_USDC,spot,2024-06-18 17:39:00+00:00,2026-05-01 05:23:14.809361+00:00,sample_20260501T052314809334Z,public_market_data,2024-06-18 17:39:00+00:00,2024-06-18 17:39:59.999000+00:00,1m,3414.0,3414.0,3414.0,3414.0,0.0007,0.0007,0,"{'exchange': 'deribit', 'symbol': 'ETH_USDC', 'interval': '1m', 'open_time': datetime.datetime(2024, 6, 18, 17, 39, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'close_time': datetime.datetime(2024, 6, 18, 17, 39, 59, 999000, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'open_price': 3414.0, 'high_price': 3414.0, 'low_price': 3414.0, 'close_price': 3414.0, 'volume': 0.0007, 'quote_volume': 0.0007, 'trade_count': 0}"
v1,spot,deribit,ETH_USDC,spot,2024-05-26 22:28:00+00:00,2026-05-01 05:23:14.809361+00:00,sample_20260501T052314809334Z,public_market_data,2024-05-26 22:28:00+00:00,2024-05-26 22:28:59.999000+00:00,1m,3846.0,3846.0,3846.0,3846.0,0.0001,0.0001,0,"{'exchange': 'deribit', 'symbol': 'ETH_USDC', 'interval': '1m', 'open_time': datetime.datetime(2024, 5, 26, 22, 28, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'close_time': datetime.datetime(2024, 5, 26, 22, 28, 59, 999000, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'open_price': 3846.0, 'high_price': 3846.0, 'low_price': 3846.0, 'close_price': 3846.0, 'volume': 0.0001, 'quote_volume': 0.0001, 'trade_count': 0}"
v1,spot,deribit,ETH_USDC,spot,2023-05-20 01:32:00+00:00,2026-05-01 05:23:14.809361+00:00,sample_20260501T052314809334Z,public_market_data,2023-05-20 01:32:00+00:00,2023-05-20 01:32:59.999000+00:00,1m,1806.39,1806.39,1806.39,1806.39,0.0,0.0,0,"{'exchange': 'deribit', 'symbol': 'ETH_USDC', 'interval': '1m', 'open_time': datetime.datetime(2023, 5, 20, 1, 32, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'close_time': datetime.datetime(2023, 5, 20, 1, 32, 59, 999000, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'open_price': 1806.39, 'high_price': 1806.39, 'low_price': 1806.39, 'close_price': 1806.39, 'volume': 0.0, 'quote_volume': 0.0, 'trade_count': 0}"
v1,spot,deribit,ETH_USDC,spot,2026-02-28 09:26:00+00:00,2026-05-01 05:23:14.809361+00:00,sample_20260501T052314809334Z,public_market_data,2026-02-28 09:26:00+00:00,2026-02-28 09:26:59.999000+00:00,1m,1861.0,1861.0,1857.8,1859.7,0.9439,0.9439,0,"{'exchange': 'deribit', 'symbol': 'ETH_USDC', 'interval': '1m', 'open_time': datetime.datetime(2026, 2, 28, 9, 26, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'close_time': datetime.datetime(2026, 2, 28, 9, 26, 59, 999000, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'open_price': 1861.0, 'high_price': 1861.0, 'low_price': 1857.8, 'close_price': 1859.7, 'volume': 0.9439, 'quote_volume': 0.9439, 'trade_count': 0}"
v1,spot,deribit,ETH_USDC,spot,2024-03-28 05:13:00+00:00,2026-05-01 05:23:14.809361+00:00,sample_20260501T052314809334Z,public_market_data,2024-03-28 05:13:00+00:00,2024-03-28 05:13:59.999000+00:00,1m,3511.06,3511.06,3511.06,3511.06,0.0,0.0,0,"{'exchange': 'deribit', 'symbol': 'ETH_USDC', 'interval': '1m', 'open_time': datetime.datetime(2024, 3, 28, 5, 13, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'close_time': datetime.datetime(2024, 3, 28, 5, 13, 59, 999000, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'open_price': 3511.06, 'high_price': 3511.06, 'low_price': 3511.06, 'close_price': 3511.06, 'volume': 0.0, 'quote_volume': 0.0, 'trade_count': 0}"
v1,spot,deribit,ETH_USDC,spot,2023-10-17 20:04:00+00:00,2026-05-01 05:23:14.809361+00:00,sample_20260501T052314809334Z,public_market_data,2023-10-17 20:04:00+00:00,2023-10-17 20:04:59.999000+00:00,1m,1565.37,1565.37,1565.37,1565.37,0.0,0.0,0,"{'exchange': 'deribit', 'symbol': 'ETH_USDC', 'interval': '1m', 'open_time': datetime.datetime(2023, 10, 17, 20, 4, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'close_time': datetime.datetime(2023, 10, 17, 20, 4, 59, 999000, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'open_price': 1565.37, 'high_price': 1565.37, 'low_price': 1565.37, 'close_price': 1565.37, 'volume': 0.0, 'quote_volume': 0.0, 'trade_count': 0}"
v1,spot,deribit,ETH_USDC,spot,2024-11-30 22:41:00+00:00,2026-05-01 05:23:14.809361+00:00,sample_20260501T052314809334Z,public_market_data,2024-11-30 22:41:00+00:00,2024-11-30 22:41:59.999000+00:00,1m,3717.0,3717.0,3717.0,3717.0,0.0002,0.0002,0,"{'exchange': 'deribit', 'symbol': 'ETH_USDC', 'interval': '1m', 'open_time': datetime.datetime(2024, 11, 30, 22, 41, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'close_time': datetime.datetime(2024, 11, 30, 22, 41, 59, 999000, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'open_price': 3717.0, 'high_price': 3717.0, 'low_price': 3717.0, 'close_price': 3717.0, 'volume': 0.0002, 'quote_volume': 0.0002, 'trade_count': 0}"
v1,spot,deribit,ETH_USDC,spot,2023-07-23 21:54:00+00:00,2026-05-01 05:23:14.809361+00:00,sample_20260501T052314809334Z,public_market_data,2023-07-23 21:54:00+00:00,2023-07-23 21:54:59.999000+00:00,1m,1879.92,1879.92,1879.92,1879.92,0.0,0.0,0,"{'exchange': 'deribit', 'symbol': 'ETH_USDC', 'interval': '1m', 'open_time': datetime.datetime(2023, 7, 23, 21, 54, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'close_time': datetime.datetime(2023, 7, 23, 21, 54, 59, 999000, tzinfo=zoneinfo.ZoneInfo(key='UTC')), 'open_price': 1879.92, 'high_price': 1879.92, 'low_price': 1879.92, 'close_price': 1879.92, 'volume': 0.0, 'quote_volume': 0.0, 'trade_count': 0}"
